ID_STA,ARRONDISSEMENT,NBR_PLACE,JURIDICTION,EMPLACEMENT,HEURES,Latitude,Longitude,Note FR
1,LaSalle,150,Municipale,"55, av. Dupras",23h à 7h,"45,4286831","-73,66202156",
2,LaSalle,130,Municipale,"707, 75e Avenue",23h à 7h,"45,42132812","-73,62921196",
3,Le Plateau-Mont-Royal,90,Municipale,"3815, av. Calixa-Lavallée",22h à 7h,"45,52727384","-73,56996319",
4,Le Plateau-Mont-Royal,70,Municipale,"4375, rue Cartier",22h à 7h,"45,53347215","-73,57249315",
5,Mercier - Hochelaga-Maisonneuve,485,Municipale,"3000, rue Viau",20h à 8h,"45,56294486","-73,54995957",
6,Outremont,21,Municipale,"Opposé du 940, av. Outremont",21h à 7h,"45,52271845","-73,61670684",
7,Outremont,7,Municipale,"Nord du 780, av. Querbes",21h à 7h,"45,52339841","-73,61162619",
8,Outremont,9,Municipale,"Nord du 779, av. de l'Épée",21h à 7h,"45,52321827","-73,61180505",
9,Outremont,9,Municipale,"Sud du 832, av. Bloomfield",21h à 7h,"45,52261349","-73,6137112",
10,Outremont,13,Municipale,Sud de l'avenue de l'Épée,21h à 7h,"45,52157504","-73,60819198",
11,Outremont,15,Municipale,"Nord du 620, av. de l'Épée",21h à 7h,"45,52129568","-73,60862667",
12,Outremont,10,Municipale,"Sud du 628, av. Bloomfield",21h à 7h,"45,52054842","-73,60903484",
13,Outremont,20,Municipale,"Nord du 634, av. Champagneur",21h à 7h,"45,52007062","-73,60995555",
14,Outremont,18,Municipale,"Ouest du 1335, av. Bernard",21h à 7h,"45,51880152","-73,61029868",
15,Outremont,19,Municipale,"Ouest du 451, av. Edouard-Charles",21h à 7h,"45,51766201","-73,5967414",
16,Outremont,10,Municipale,"Sud du 5123, av. Durocher",21h à 7h,"45,51839917","-73,59757466",
17,Outremont,10,Municipale,"Sud du 5126, av. Durocher",21h à 7h,"45,51810199","-73,59784295",
18,Outremont,21,Municipale,"Sud du 142, av. Querbes",21h à 7h,"45,51756151","-73,5985076",
19,Rosemont - La Petite-Patrie,350,Municipale,"4581, rue Sherbrooke Est (Niveau 2)",18h à 7h,"45,55729156","-73,55503968",
20,Saint-Léonard,40,Municipale,Côté sud à l'ouest du Boul. Langelier,23h à 7h,"45,59154831","-73,58429512",
21,Saint-Léonard,84,Municipale,Côté nord à l'ouest de la rue Du Cap,23h à 7h,"45,58212862","-73,59387909",
22,Saint-Léonard,30,Municipale,Rue Liénart et rue Ladauversière,23h à 7h,"45,58569878","-73,57208618",
23,Saint-Léonard,32,Municipale,Rue De Lisieux,23h à 7h,"45,58063347","-73,58416346",
24,Saint-Léonard,50,Municipale,Boul. Lacordaire et rue Jean-Talon,23h à 7h,"45,58179459","-73,58370387",
25,Saint-Léonard,18,Municipale,Boul. Provencher entre Buies et Colbert,23h à 7h,"45,57180009","-73,5919913",
26,Saint-Léonard,134,Municipale,Coin boul. Métropolitain et rue Colbert,23h à 7h,"45,57362388","-73,59549211",
27,Saint-Léonard,100,Municipale,Boul. Lacordaire entre Des Galets et Robert,23h à 7h,"45,5866441","-73,59588584",
28,Saint-Léonard,45,Municipale,Coin rue Jarry et boul. Lacordaire,23h à 7h,"45,5842175","-73,59231914",
29,Saint-Léonard,619,Municipale,Entre les rue Des Galets et le boul. Robert,23h à 7h,"45,58504958","-73,59803607",
30,Saint-Léonard,49,Municipale,Par boul. Lacordaire ou par la rue Collerette,23h à 7h,"45,58503589","-73,59287154",
31,Saint-Léonard,21,Municipale,Entre les boul. Lacordaire et Viau,23h à 7h,"45,59100964","-73,60458288",
32,Saint-Léonard,12,Municipale,Côté sud à l'est du boul. Provencher,23h à 7h,"45,57900629","-73,60416336",
33,Saint-Léonard,12,Municipale,Côté est au sud du boul. Lavoisier,23h à 7h,"45,5835883","-73,61170696",
34,Saint-Léonard,12,Municipale,Côté sud entre les boul. Lacordaire et Langelier,23h à 7h,"45,59203084","-73,58875607",
35,Saint-Léonard,12,Municipale,Côté sud entre les boul. Lacordaire et Langelier,23h à 7h,"45,59508321","-73,59741267",
36,Saint-Léonard,32,Municipale,Entre la rue Jarry et le boul. Métropolitain,23h à 7h,"45,58939817","-73,58368954",
37,Saint-Léonard,9,Municipale,Entre les rues de la Salette et Louis-Vanier,23h à 7h,"45,58953364","-73,58301048",
38,Saint-Léonard,91,Municipale,Coin boul. Métropolitain et rue Louis-Vanier,23h à 7h,"45,58906498","-73,58403508",
39,Le Sud-Ouest,220,Municipale,"5485, ch. de la Côte-Saint-Paul",21h à 7h,"45,46675908","-73,59520921",
41,Villeray - Saint-Michel - Parc-Extension,134,Stationnement de Montréal,14e Avenue entre rue Jarry et boul. Crémazie,21h à 7h,"45,56505718","-73,60602074",
42,Le Sud-Ouest,735,Stationnement de Montréal,Boulevard Des Trinitaires au nord du parc de la Vérendrye,21h à 7h,"45,44532732","-73,60251088",
43,Le Sud-Ouest,23,Stationnement de Montréal,Place Saint-Henri entre la rue Saint-Jacques et la rue Notre-Dame,21h à 7h,"45,47710588","-73,58567199",
44,Le Plateau-Mont-Royal,43,Stationnement de Montréal,Rue Saint-Dominique entre la rue Bernard et la rue Saint-Viateur,21h à 7h,"45,52738584","-73,6007139",
45,Rosemont - La Petite-Patrie,19,Stationnement de Montréal,Rue Saint-André entre la rue Beaubien et la rue Bellechasse,21h à 7h,"45,53539488","-73,60017763",
46,Rosemont - La Petite-Patrie,31,Stationnement de Montréal,Rue Saint-André entre la rue Beaubien et la rue Bellechasse,21h à 7h,"45,53602358","-73,60152317",
47,Rosemont - La Petite-Patrie,23,Stationnement de Montréal,Rue Beaubien entre la rue Saint-André et la rue Boyer,21h à 7h,"45,53699442","-73,60262609",
48,Rosemont - La Petite-Patrie,17,Stationnement de Montréal,6e Avenue entre la rue Dandurand et la rue Masson,21h à 7h,"45,54852458","-73,57534282",
49,Rosemont - La Petite-Patrie,27,Stationnement de Montréal,8e Avenue entre la rue Dandurand et la rue Masson,21h à 7h,"45,5490917","-73,57501059",
50,Rosemont - La Petite-Patrie,100,Stationnement de Montréal,Rue Boyer entre la rue Beaubien et la rue Saint-Zotique,21h à 7h,"45,5378921","-73,60499654",
51,Rosemont - La Petite-Patrie,20,Stationnement de Montréal,Rue Saint-Vallier entre la rue Jean-Talon et la rue Bélanger,21h à 7h,"45,53872065","-73,61366683",
52,Rosemont - La Petite-Patrie,15,Stationnement de Montréal,Boulevard Rosemont entre la rue Saint-Denis et la rue Saint-Vallier,21h à 7h,"45,53109559","-73,59794229",
53,Ville-Marie,61,Stationnement de Montréal,De Maisonneuve entre Bleury et Jeanne-Mance,21h à 7h,"45,50777495","-73,56887682",
54,Ville-Marie,121,Stationnement de Montréal,Remembrance sur le Mont-Royal,21h à 7h,"45,49859068","-73,60098245",
55,Ville-Marie,435,Stationnement de Montréal,Remembrance sur le Mont-Royal (Maison Smith),21h à 7h,"45,5016918","-73,59435953",
56,Ville-Marie,114,Stationnement de Montréal,Remembrance sur le Mont-Royal (Centre de la Montagne),21h à 7h,"45,50265489","-73,59405403",Ce stationnement sera fermé du 25 janvier au 5 mars 2016
57,Le Plateau-Mont-Royal,113,Stationnement de Montréal,Rue Sherbrooke entre la rue Calixa-Lavallée et le Parc Lafontaine,21h à 7h,"45,52325407","-73,56573383",
58,Ville-Marie,36,Stationnement de Montréal,Rue Notre-Dame entre la rue De l'Inspecteur et la rue De la Cathédrale,21h à 7h,"45,4967555","-73,56256819",
59,Ville-Marie,24,Stationnement de Montréal,Mansfield côté ouest entre Saint-Antoine et Saint-Jacques,21h à 7h,"45,49765421","-73,56461643",
60,Rosemont - La Petite-Patrie,45,Stationnement de Montréal,Rue Saint-André entre la rue Jean-Talon et la rue Bélanger,21h à 7h,"45,54083691","-73,61200643",
,Ahuntsic-Cartierville,22,Stationnement de Montréal,Rue Fleury près de la rue Chambord,21h à 7h,"45,56015436","-73,6584055",